ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice PCI,Etat PCI,Indice IRI,Etat IRI
1010001,Adhémar-Mailhiot avenue,rue Paul-Morand ,boulevard Gouin Ouest ,120,Ahuntsic-Cartierville,2015-07-27,76,Bon,4.25,Moyen
1010004,D'Aiguillon place,avenue Robert-Giffard ,avenue Robert-Giffard ,236,Ahuntsic-Cartierville,2015-07-24,65,Bon,5.4,Moyen
1010005,Albert-LeSage avenue,boulevard Toupin ,avenue Albert-Prévost ,202,Ahuntsic-Cartierville,2015-07-27,67,Bon,7.02,Mauvais
1010006,Albert-Prévost avenue,avenue Jean-Bourdon ,rue De Bécancour ,76,Ahuntsic-Cartierville,2015-07-27,32,Mauvais,6.72,Mauvais
1010007,Albert-Prévost avenue,rue De Bécancour ,rue De Villebon ,75,Ahuntsic-Cartierville,2015-07-27,51,Moyen,6.96,Mauvais
1010008,Albert-Prévost avenue,rue De Villebon ,boulevard Gouin Ouest ,93,Ahuntsic-Cartierville,2015-07-27,41,Moyen,7.45,Mauvais
1010009,Albert-Prévost avenue,boulevard Gouin Ouest ,avenue Albert-LeSage ,69,Ahuntsic-Cartierville,2015-07-27,55,Moyen,3.82,Bon
1010010,Albert-Prévost avenue,avenue Albert-LeSage ,avenue Philippe-Rottot ,103,Ahuntsic-Cartierville,2015-07-27,49,Moyen,6.3,Mauvais
1010013,Albert-Prévost avenue,avenue Philippe-Rottot ,avenue Henri-Béland ,68,Ahuntsic-Cartierville,2015-07-27,50,Moyen,7.57,Mauvais
1010016,Alfred-De Vigny avenue,avenue Louis-Jadon ,avenue Longtin ,74,Ahuntsic-Cartierville,2015-07-27,40,Mauvais,4.6,Moyen
1010017,Alfred-De Vigny avenue,avenue Longtin ,avenue Léon-Trépanier ,185,Ahuntsic-Cartierville,2015-07-27,23,Mauvais,5.16,Moyen
1010029,de l'Alliance avenue,boulevard Gouin Ouest ,avenue de l'Alliance ,148,Ahuntsic-Cartierville,2015-07-27,60,Moyen,7.68,Mauvais
1010030,Antoine-Berthelet avenue,avenue Jean-Bourdon ,rue Paul-Morand ,80,Ahuntsic-Cartierville,2015-07-27,48,Moyen,5.56,Moyen
1010031,Antoine-Berthelet avenue,rue Paul-Morand ,boulevard Gouin Ouest ,117,Ahuntsic-Cartierville,2015-07-27,48,Moyen,5.51,Moyen
1010032,D'Argenteuil place,avenue Robert-Giffard ,avenue Robert-Giffard ,240,Ahuntsic-Cartierville,2015-07-24,41,Moyen,5.74,Moyen
1010052,du Beau-Bois avenue,croissant du Beau-Bois ,place du Beau-Bois ,233,Ahuntsic-Cartierville,2015-07-27,55,Moyen,5.98,Moyen
1010055,du Beau-Bois avenue,place du Beau-Bois ,avenue du Beau-Bois ,218,Ahuntsic-Cartierville,2015-07-27,59,Moyen,5.15,Moyen
1010059,de Beauséjour rue,rue Beauséjour ,avenue Jean-Bourdon ,29,Ahuntsic-Cartierville,2015-07-27,7,Très mauvais,4.45,Moyen
1010060,de Beauséjour rue,avenue Jean-Bourdon ,rue De Bécancour ,84,Ahuntsic-Cartierville,2015-07-27,52,Moyen,4.07,Moyen
1010061,de Beauséjour rue,rue De Bécancour ,rue De Villebon ,75,Ahuntsic-Cartierville,2015-07-27,43,Mauvais,2.6,Bon
1010062,de Beauséjour rue,rue De Villebon ,boulevard Gouin Ouest ,69,Ahuntsic-Cartierville,2015-07-27,17,Très mauvais,5,Moyen
1010063,de Beauséjour rue,boulevard Gouin Ouest ,rue Béique ,84,Ahuntsic-Cartierville,2015-07-27,39,Mauvais,6.5,Mauvais
1010064,de Beauséjour rue,rue Béique ,rue Béique ,167,Ahuntsic-Cartierville,2015-07-27,53,Moyen,6.31,Mauvais
1010066,de Beauséjour rue,rue Béique ,boulevard Toupin ,83,Ahuntsic-Cartierville,2015-07-27,62,Bon,6.34,Mauvais
1010068,De Bécancour rue,rue de Beauséjour ,rue La Corne ,103,Ahuntsic-Cartierville,2015-07-27,68,Bon,3.62,Bon
1010069,De Bécancour rue,boulevard Toupin ,avenue Albert-Prévost ,197,Ahuntsic-Cartierville,2015-07-27,33,Mauvais,5.53,Moyen
1010070,Béique rue,rue de Beauséjour ,rue de Beauséjour ,164,Ahuntsic-Cartierville,2015-07-27,66,Bon,4.98,Moyen
1010074,du Bocage rue,rue Notre-Dame-des-Anges ,rue Fréchette ,83,Ahuntsic-Cartierville,2015-07-24,13,Très mauvais,6.62,Mauvais
1010075,du Bocage rue,avenue de la Miséricorde ,rue De Serres ,84,Ahuntsic-Cartierville,2015-07-24,20,Très mauvais,5.44,Moyen
1010076,du Bocage rue,rue De Serres ,rue Grenet ,88,Ahuntsic-Cartierville,2015-07-24,43,Moyen,5.4,Moyen
1010077,du Bocage rue,rue Grenet ,rue Ranger ,87,Ahuntsic-Cartierville,2015-07-24,17,Très mauvais,6.31,Mauvais
1010078,du Bocage rue,rue Ranger ,avenue de Rivoli ,90,Ahuntsic-Cartierville,2015-07-24,30,Mauvais,5.8,Moyen
1010079,du Bocage rue,avenue de Rivoli ,rue Lachapelle ,110,Ahuntsic-Cartierville,2015-07-24,10,Très mauvais,7.85,Mauvais
1010080,du Bocage rue,rue Lachapelle ,boulevard Laurentien ,97,Ahuntsic-Cartierville,2015-07-24,84,Excellent,4.35,Moyen
1010087,Bruton chemin,chemin de Somerset ,chemin du Golf ,170,Ahuntsic-Cartierville,2015-07-27,74,Bon,4.68,Moyen
1010088,Camille rue,rue Hervé ,avenue Jean-Bourdon ,200,Ahuntsic-Cartierville,2015-07-27,63,Bon,4.01,Moyen
1010089,Camille rue,avenue Jean-Bourdon ,rue Camille ,75,Ahuntsic-Cartierville,2015-07-27,34,Mauvais,6.26,Mauvais
1010103,Chevalier rue,rue Lachapelle ,boulevard Gouin Ouest ,187,Ahuntsic-Cartierville,2015-07-27,46,Moyen,5.62,Moyen
1010139,La Corne rue,avenue Jean-Bourdon ,rue De Bécancour ,77,Ahuntsic-Cartierville,2015-07-27,52,Moyen,3.46,Bon
1010140,La Corne rue,rue De Bécancour ,rue De Villebon ,71,Ahuntsic-Cartierville,2015-07-27,46,Moyen,4.98,Moyen
1010141,Cossette rue,boulevard Gouin Ouest ,chemin du Golf ,248,Ahuntsic-Cartierville,2015-07-27,48,Moyen,5.94,Moyen
1010147,Cousineau rue,rue Laurin ,boulevard Gouin Ouest ,301,Ahuntsic-Cartierville,2015-07-27,31,Mauvais,4.64,Moyen
1010150,Crevier rue,boulevard Gouin Ouest ,rue Crevier ,318,Ahuntsic-Cartierville,2015-07-27,48,Moyen,5.89,Moyen
1010151,Daigle rue,rue Marsan ,rue Forbes ,316,Ahuntsic-Cartierville,2015-07-27,51,Moyen,3.75,Bon
1010154,Daigle rue,rue Forbes ,rue Filion ,190,Ahuntsic-Cartierville,2015-07-27,39,Mauvais,4.84,Moyen
1010159,Dépatie rue,rue Dépatie ,rue Dudemaine ,254,Ahuntsic-Cartierville,2015-07-27,87,Excellent,2.55,Bon
1010160,Dépatie rue,rue Dudemaine ,rue de Louisbourg ,324,Ahuntsic-Cartierville,2015-07-27,57,Moyen,3.25,Bon
1010161,Dépatie rue,rue de Louisbourg ,rue De Salaberry ,322,Ahuntsic-Cartierville,2015-07-27,39,Mauvais,4.37,Moyen
1010162,Dépatie rue,rue De Salaberry ,rue Sainte-Odile ,95,Ahuntsic-Cartierville,2015-07-27,49,Moyen,6.46,Mauvais
1010163,Dépatie rue,rue Sainte-Odile ,rue Forbes ,170,Ahuntsic-Cartierville,2015-07-27,45,Moyen,6.75,Mauvais
1010164,Dépatie rue,rue Jules-Colas ,place de La Minerve ,199,Ahuntsic-Cartierville,2015-07-27,85,Excellent,4.15,Moyen
1010172,Dudemaine rue,rue Dudemaine ,rue Dudemaine ,254,Ahuntsic-Cartierville,2015-07-24,52,Moyen,4.11,Moyen
