nid,categorie,titre,informations,contenu,lat,long,loc_x,loc_y,uuid
86,"Art public","La peur, Gilles Mihalcean","La peur, 1993
Gilles Mihalcean
Installation (acier, aluminium, calcaire, granit, grès, marbre)
Centre d’histoire de Montréal
Collection d’art public de la Ville de Montréal
306, Place d'Youville, Montréal, QC H2Y 2B6","Installation (acier, aluminium, calcaire, granit, grès, marbre), 1993
Centre d’histoire de Montréal
Collection d’art public de la Ville de Montréal
306, place D'Youville, Montréal (Québec) H2Y 2B6
Description de l’oeuvre
Faite à partir de matériaux fabriqués, transformés ou bruts, La Peur reflète les différentes étapes du développement de la civilisation. Le caillou et le bloc fait de strates de pierres réfèrent à des temps plus anciens. La croix, symbole incontournable de la chrétienté, rappelle la participation active de la religion dans le développement du Québec; d’un point de vue géographique, elle est l’écho, à échelle humaine, de la croix du mont Royal. Sa forme inusitée évoque par ailleurs un satellite placé en orbite dans l’espace. Le doigt, inséré dans le disque transformé en bouclier, se lit quant à lui comme une métaphore de la peur.
Hyperlien : https://artpublicmontreal.ca/oeuvre/la-peur/
",45.501366,-73.555215,300485,5040161.9,"3f208b5c-d302-45de-ad67-ea794aaa9fdd"
85,"Art public","Entre nous, Andrew Dutkewych","Entre nous, 1992
Andrew Dutkewych
Sculpture (bronze, calcaire)
Musée Pointe-à-Callière
350, Place Royale, Montréal, QC H2Y 3Y5","Sculpture (bronze, calcaire), 1992
Musée Pointe-à-Callière
350, place Royale, Montréal (Québec)  H2Y 3Y5
Description de l’oeuvre
Cette sculpture est composée de trois éléments : une colonne circulaire en bronze, une urne et un banc de pierre taillée. Sur une accumulation de volumes de pierre fragmentée s’élève une colonne représentant deux profils en négatif qui se font face. Au pied de la sculpture se trouve une urne renversée, reposant en équilibre. Enfin, le banc se trouve plus loin, à proximité de l’entrée du Musée.

L’œuvre évoque l’interaction humaine à travers l’histoire; la colonne s’inspire des piliers d’amarrage des quais, les fragments de pierre symbolisent la chaîne d’interprétation historique du site, tandis que l’urne renversée est la métaphore et le témoignage de la richesse de la culture. Une lecture attentive du profil de la colonne fait découvrir deux silhouettes de figures humaines qui se rencontrent et donnent ainsi le titre de l’œuvre : Entre nous.
Hyperlien : https://artpublicmontreal.ca/oeuvre/entre-nous/
",45.502916,-73.554041,300576.9,5040334.1,"05b9f39d-cdef-49c3-b4b2-4e4dff43296c"
87,"Art public","Monument à John Young, Louis-Philippe Hébert","Monument à John Young, 1911
Louis-Philippe Hébert
Sculpture (bronze, granit)
Collection d’art public de la Ville de Montréal
335, rue de la Commune Ouest, Montréal, QC H2Y 2E2","Sculpture (bronze, granit), 1911
Collection d’art public de la Ville de Montréal
335, rue de la Commune Ouest, Montréal (Québec) H2Y 2E2
Description de l’œuvre
Ce monument-fontaine est composé de quatre éléments en bronze répartis sur un socle de granit, qui est lui-même installé au centre d’un bassin fait de la même pierre grise. À la base se trouve la figure allégorique du dieu Fleuve qui, à demi assis sur les débris d’un navire naufragé, tient une vasque d’où s’écoule l’eau de la fontaine. Au haut du piédestal est installée la statue de John Young, le montrant debout, les bras croisés, tenant d’une main des documents et vêtu d’une redingote, à la mode de l’époque. De part et d’autre du socle, deux proues de navire qui émergent de la vague complètent la composition, rappelant la navigation sur le Saint-Laurent. Le rapport établi entre le personnage principal et la figure secondaire repose sur un jeu d’équilibre entre le réalisme, John Young, et le symbolisme, la figure du fleuve.
Hyperlien : https://artpublicmontreal.ca/oeuvre/monument-a-john-young/
",45.500131,-73.553435,300624.1,5040024.6,"c62a3866-5495-4788-842c-505ebae7ca14"
88,"Art public","Nadia ou le saut du tremplin, Marcel Barbeau","Nadia ou le saut du tremplin, 1976
Marcel Barbeau
Sculpture (aluminium, acrylique)
Collection du Musée d’art contemporain de Montréal
Promenade du Vieux-Port
À l’angle des rues Saint-Pierre et de la Commune Ouest","Sculpture (aluminium, acrylique), 1976
Collection du Musée d’art contemporain de Montréal
Promenade du Vieux-Port
À l’intersection des rues Saint-Pierre et de la Commune Ouest
Description de l’œuvre
Peintre, sculpteur et artiste transdisciplinaire associé au mouvement Automatiste du Québec, Marcel Barbeau a créé Le saut du tremplin en 1976, année des Jeux olympiques de Montréal, d’où la référence à la gymnaste Nadia Comaneci dans le titre. D’abord installée devant le siège social de l’Organisation de l’aviation civile internationale, cette sculpture au rouge éclatant et aux lignes dynamiques se retrouve maintenant dans le Vieux-Montréal, dans le jardin à l’angle des rues Saint-Pierre et de la Commune Ouest. Elle y est déposée sur un socle qui la dégage complètement du sol, installation qui met en valeur la fluidité de son dessin, son aspect aérien, et qui invite à l’expérimentation spatio-temporelle et à la déambulation.
Hyperlien : https://artpublicmontreal.ca/oeuvre/nadia-ou-le-saut-du-tremplin/
",45.500502,-73.552994,300658.5,5040065.8,"da2ceacd-92ee-41e7-b076-24ccc90c896b"
90,"Art public","Monument à la reine Victoria, Marshall Wood","Monument à la reine Victoria, 1869
Marshall Wood
Sculpture (bronze, granit)
Square Victoria
Collection d’art public de la Ville de Montréal","Sculpture (bronze, granit), 1869
Square Victoria
Collection d’art public de la Ville de Montréal
Description de l’œuvre
Une dizaine d’années après la création du square Victoria, la visite d’un membre de la famille royale, le prince Arthur, sera l’occasion pour un groupe de citoyens de lancer une souscription publique afin d’édifier un monument à la reine Victoria dans le square éponyme. La commande est confiée au sculpteur londonien Marshall Wood. L’artiste livre une Victoria de 18 ans, représentée à l’époque où elle accède au trône, en 1837.
Hyperlien : https://artpublicmontreal.ca/oeuvre/monument-a-la-reine-victoria/
",45.50142,-73.561443,299998.3,5040168.3,"3a348fb0-4fe5-477b-ad90-2fd24629cd1b"
91,"Art public","Entourage Guimard, Hector Guimard","Entourage Guimard, 1967
Hector Guimard
Élément architectural (fonte, pierre de Comblanchien)
Collection de la Société de transport de Montréal
Entrée de la station de métro Square-Victoria–OACI","Élément architectural (fonte, pierre de Comblanchien), 1967
Collection de la Société de transport de Montréal
Entrée de la station de métro Square-Victoria–OACI
Description de l’œuvre
Né à Lyon (France), Hector Guimard fut l’un des plus importants représentants de l’Art Nouveau, courant inspiré de la nature. En 1899, les responsables du métro parisien lui ont confié le mandat de réaliser les entrées du tout nouveau réseau de transport souterrain. Cet élément architectural datant des débuts du métro de Paris a été installé au square Victoria en 1967. Il a été complété et restauré en 2003, lors du réaménagement du square et de son intégration au Quartier international de Montréal. Il s’agit d’un don de la Régie autonome des transports parisiens (RATP) à la STM.
Hyperlien : https://artpublicmontreal.ca/oeuvre/non-titre-26/
",45.501672,-73.56194,299959.5,5040196.3,"bf9bef9c-ad8d-4e60-9cfb-59dd30f4c579"
95,"Art public","Monument au frère André, Émile Brunet","Monument au frère André, 1986
Émile Brunet
Sculpture (bronze, granit)
Collection d’art public de la Ville de Montréal
Place du frère André 
À l’angle de la rue Place Phillips et du boulevard René-Lévesque","Sculpture (bronze, granit), 1986
Collection d’art public de la Ville de Montréal
Place du Frère-André
À l’intersection de la place Phillips et du boulevard René-Lévesque Ouest
Description de l’œuvre
Cette réplique de la sculpture du frère André, située à côté de la chapelle sur le terrain de l’oratoire Saint-Joseph, est inaugurée le 2 novembre 1986 en présence du maire Jean Drapeau. Coulée à Londres par les Morris Singer Art Founders, à partir de l’original en plâtre conservé au Musée de l’oratoire, cette copie posthume trône au centre de l’ancien square de la côte du Beaver Hall, devenu place du Frère-André. La figure de cet homme religieux, qui de son vivant s’est caractérisé par sa proximité des gens du peuple et sa grande accessibilité, porte son habit des frères de la Congrégation de Sainte-Croix. Sa posture et sa physionomie transmettent l’humilité et la bonté ayant ponctué la vie de ce frère, connu notamment pour ses nombreux miracles comme guérisseur. Cette œuvre est typique de la production académique du sculpteur canadien Émile Brunet.
Hyperlien : https://artpublicmontreal.ca/oeuvre/monument-au-frere-andre/
",45.503313,-73.56661,299594.7,5040379,"744eb865-d3d5-49fd-9f10-6a037190bcb4"
97,"Art public","Place monseigneur Charbonneau, Patrick Coutu","Place monseigneur Charbonneau, 2005
Patrick Coutu
Sculpture (acier inoxydable, aluminium, béton, bronze, granit, marbre, serpentine)
Propriété d’Ivanhoé Cambridge
Place Ville-Marie
Boulevard Robert-Bourassa","Sculpture (acier inoxydable, aluminium, béton, bronze, granit, marbre, serpentine), 2005
Propriété d’Ivanhoé Cambridge
Place Ville Marie
Boulevard Robert-Bourassa
À propos de l’artiste
Patrick Coutu détient un baccalauréat en arts-visuels de l’Université du Québec à Montréal (1997), une maîtrise du Glasgow School of Art (2003) et de l’Université Concordia (2005). Depuis 1997, il participe à plusieurs expositions au pays et à l’étranger, notamment à la Galerie René Blouin (2010), au Musée des beaux-arts du Canada (2008), au Musée d’art contemporain de Montréal (2008), au Musée du Québec (2002). Ses oeuvres font partie de collections publiques (MACM, MNBQ, MBAC, Ville de Montréal) et privées (BNC, SITQ).
Hyperlien : https://artpublicmontreal.ca/oeuvre/place-monseigneur-charbonneau/
",45.502038,-73.568002,299485.8,5040237.4,"af0bccf2-9811-4a9e-8050-5aa2fee06591"
98,"Art public","Autoportrait, Nicolas Baier","Autoportrait, 2012
Nicolas Baier
Installation (acier inoxydable, verre, béton, peinture)
Propriété d’Ivanhoé Cambridge
Esplanade de la Place Ville-Marie
1, Place Ville-Marie, Montreal, QC H3B 2B6","Installation (acier inoxydable, verre, béton, peinture), 2012
Propriété d’Ivanhoé Cambridge
Esplanade de la Place Ville-Marie
1, Place Ville-Marie, Montreal, QC H3B 2B6
À propos de l’artiste
 Titulaire d’un baccalauréat en arts visuels de l’Université Concordia, Nicolas Baier vit et travaille à Montréal. À l’occasion du cinquantième anniversaire de la Place Ville Marie, en 2012, il réalise Autoportrait. L’œuvre reproduisant en nickel une salle de réunion est installée sous un cube de verre sur l’esplanade de la tour conçue par Ieoh Ming Pie. Les œuvres de Baier font partie de nombreuses collections privées et publiques, dont celles du Musée d’art contemporain de Montréal, du Musée des beaux-arts du Québec et du Musée canadien de la photographie contemporaine.
Hyperlien : https://artpublicmontreal.ca/oeuvre/autoportrait/
",45.50101,-73.569089,299400.8,5040123.2,"a66dc964-dc59-4469-923a-7d83c84c257b"
99,"Art public","Female Landscape, Gerald Gladstone","Female Landscape, 1972
Gerald Gladstone
Sculpture-fontaine (béton, bronze, eau, éclairage)
Propriété d’Ivanhoé Cambridge
Esplanade de la Place Ville-Marie
1, Place Ville-Marie, Montreal, QC H3B 2B6","Sculpture-fontaine (béton, bronze, eau, éclairage), 1972
Propriété d’Ivanhoé Cambridge
Esplanade de la Place Ville-Marie
1, Place Ville-Marie, Montreal, QC H3B 2B6
À propos de l’artiste
C’est après avoir travaillé une quinzaine d’années dans l’univers de la publicité que Gerald Gladstone (1929-2005) décide de se consacrer à plein temps à l’art. Sans avoir de formation artistique particulière, il connaît une carrière importante composée de plusieurs expositions individuelle et de groupe. Toutefois, il se fait surtout remarquer pour ses nombreux projets en art public. Par exemple, il réalise en 1972 la sculpture-fontaine Female Landscape, implantée sur l’esplanade de la Place Ville-Marie, à Montréal. Quatre ans plus tard, il crée pour la tour du CN à Toronto Universal Man, une sculpture de bronze d’une hauteur de 6,5 mètres.
Hyperlien : https://artpublicmontreal.ca/oeuvre/female-landscape/
",45.501231,-73.569694,299353.5,5040147.8,"70cbc570-83f8-47ae-aa7c-5cdacec7356e"
