unite_administrative,automobile_electrique,automobile_hybride,camion_leger_electrique,veh_outil_leger_electrique,veh_outil_lourd_electrique,autre_equipement_leger_electrique,total_general
Arr. Ahuntsic-Cartierville ,0,2,0,0,2,0,4
Arr. Anjou,0,1,0,0,0,0,1
Arr. Côte-des-Neiges–Notre-Dame-de-Grâce ,1,2,0,0,2,0,5
Arr. Lachine,0,0,0,0,1,0,1
Arr. LaSalle,1,0,0,0,2,1,4
Arr. Mercier–Hochelaga-Maisonneuve ,0,0,1,2,3,0,6
Arr. Montréal-Nord,2,2,0,0,2,0,6
Arr. Outremont,0,2,0,0,0,0,2
Arr. Pierrefonds-Roxboro ,0,6,0,1,0,0,7
Arr. Plateau-Mont-Royal ,1,10,1,0,1,6,19
Arr. Rivière-des-Prairies–Pointe-aux-Trembles ,0,4,0,0,2,0,6
Arr. Rosemont–La Petite-Patrie ,0,7,0,0,2,6,15
Arr. Saint-Laurent,1,9,0,0,0,0,10
Arr. Saint-Léonard,0,2,0,0,1,0,3
Arr. Sud-Ouest,0,6,0,0,3,0,9
Arr. Ville-Marie,1,1,1,0,2,0,5
Arr. Villeray–Saint-Michel–Parc-Extension ,1,1,3,0,2,2,9
Service de la diversité sociale et des sports,1,0,0,0,2,4,7
Service de la gestion et de la planification immobilière,0,0,0,1,0,1,2
Service de la mise en valeur du territoire,1,0,0,0,0,0,1
Service de l'approvisionnement,0,0,0,4,0,2,6
Service de l'eau,0,11,0,2,1,15,29
Service de l'environnement,2,2,0,1,0,0,5
Service de l'Espace pour la vie,0,3,1,0,3,16,23
Service de l'évaluation foncière,1,0,0,0,0,0,1
Service de police de la Ville de Montréal,2,5,0,0,0,8,15
Service de sécurité incendie de Montréal,1,7,0,0,0,0,8
"Service des grands parcs, du verdissement et du Mont-Royal",2,5,0,0,0,5,12
"Service des infrastructures, de la voirie et des transports",0,2,0,0,0,0,2
Service du matériel roulant et des ateliers,0,1,0,4,1,6,12
